ID_OBSERVATORY;OBSERVAT;TELESCOP;INSTRUME;UNITS;WAVEMIN;WAVEMAX;WAVENAME;WAVEUNIT;SPECTRAL_DOMAIN;OBS_TYPE;OBS_CAT;COMMENT
1;SDO;Continuum;HMI;Counts;617.133;617.133;Fe I;nm;Visible;REMOTE-SENSING;SPACEBORNE;NULL
2;SDO;Magnetogram;HMI;Gauss;617.133;617.133;Fe I;nm;Line_of_sight magnetic field;REMOTE-SENSING;SPACEBORNE;NULL
